a_id		w_id
a1712		w812
a1716		w2687
a1717		w3019
a1721		w3408
a1721		w3418
a1721		w450
a1721		w477
a1721		w483
a1721		w490
a1721		w493
a1721		w519
a1721		w61
a1723		w2322
a1728		w3047
a1728		w3048
a1728		w3049
a1728		w3050
a1728		w3051
a1728		w3052
a1728		w3053
a1728		w3054
a1728		w3057
a1728		w3058
a1728		w3059
a1728		w3060
a1728		w3061
a1728		w3062
a1728		w3063
a1728		w3064
a1728		w3065
a1728		w3066
a1728		w3080
a1728		w3081
a1728		w3082
a1728		w3083
a1728		w3084
a1728		w3085
a1728		w3086
a1728		w3087
a1728		w3088
a1728		w3089
a1728		w3090
a1728		w3091
a1728		w3092
a1728		w3093
a1728		w3094
a1728		w3096
a1728		w3097
a1728		w3098
a1728		w3123
a1728		w3124
a1728		w3125
a1728		w3126
a1728		w3127
a1728		w3128
a1728		w3129
a1728		w3130
a1728		w3131
a1728		w3137
a1728		w3138
a1728		w3139
a1728		w3140
a1728		w3141
a1728		w3142
a1728		w3143
a1728		w3144
a1728		w3155
a1728		w3156
a1728		w3157
a1728		w3158
a1728		w3159
a1728		w3160
a1728		w3161
a1728		w3162
a1728		w3163
a1728		w3164
a1728		w3165
a1728		w3166
a1728		w3167
a1728		w3168
a1728		w3169
a1728		w3182
a1728		w3183
a1728		w3184
a1728		w3185
a1728		w3186
a1728		w3187
a1728		w3188
a1728		w3189
a1728		w3190
a1728		w3191
a1728		w3192
a1728		w3193
a1728		w3194
a1728		w3195
a1728		w3196
a1728		w3197
a1728		w3198
a1728		w3199
a1728		w3200
a1728		w3201
a1728		w3202
a1728		w3203
a1728		w3204
a1728		w3205
a1728		w3206
a1728		w3207
a1728		w3208
a1728		w3209
a1728		w3210
a1728		w3211
a1728		w3212
a1728		w3213
a1728		w3215
a1728		w3216
a1728		w3217
a1728		w3232
a1728		w3234
a1728		w3235
a1728		w3236
a1728		w3241
a1728		w3242
a1728		w3243
a1728		w3244
a1728		w3245
a1728		w3246
a1728		w3247
