#a_id,w_id,product title,amazon_price,walmart_price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a1047,w1524,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1299.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1536,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$999.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1540,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1049.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1541,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1049.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1543,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1099.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1544,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1099.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1545,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1099.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1547,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1149.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1548,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1149.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1549,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1149.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1550,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1149.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1553,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1199.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1554,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1199.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1555,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1199.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1557,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1199.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1560,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1561,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1562,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1563,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1564,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1249.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1567,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1299.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1568,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1299.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1569,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1299.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1570,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1349.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1572,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1399.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
a1047,w1573,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,$1199.00,$1399.00,,Prostar,1920x1080,1 TB,PC,Windows 10,Intel,4,2.8 GHz,16 GB,15.6in
